,label,Frequency,Date
72, Political legitimizing of risk ,47.0,2020-04-06
73, Mask effectiveness ,34.0,2020-04-06
74, Mask behavior of others ,59.0,2020-04-06
75, COVID severity ,39.0,2020-04-06
77,Mask guidelines and policies ,37.0,2020-04-13
78, Who is at risk? ,53.0,2020-04-13
79, Political legitimizing of risk ,26.0,2020-04-13
80, Mask effectiveness ,4.0,2020-04-13
81, Mask behavior of others ,43.0,2020-04-13
82, COVID severity ,20.0,2020-04-13
84,Mask guidelines and policies ,42.0,2020-04-20
85, Who is at risk? ,38.0,2020-04-20
86, Political legitimizing of risk ,24.0,2020-04-20
87, Mask effectiveness ,16.0,2020-04-20
88, Mask behavior of others ,47.0,2020-04-20
89, COVID severity ,16.0,2020-04-20
91,Mask guidelines and policies ,69.0,2020-04-27
92, Who is at risk? ,262.0,2020-04-27
93, Political legitimizing of risk ,150.0,2020-04-27
94, Mask effectiveness ,46.0,2020-04-27
95, Mask behavior of others ,326.0,2020-04-27
96, COVID severity ,62.0,2020-04-27
98,Mask guidelines and policies ,66.0,2020-05-04
99, Who is at risk? ,179.0,2020-05-04
100, Political legitimizing of risk ,143.0,2020-05-04
101, Mask effectiveness ,53.0,2020-05-04
102, Mask behavior of others ,220.0,2020-05-04
103, COVID severity ,56.0,2020-05-04
105,Mask guidelines and policies ,34.0,2020-05-11
106, Who is at risk? ,51.0,2020-05-11
107, Political legitimizing of risk ,46.0,2020-05-11
108, Mask effectiveness ,24.0,2020-05-11
109, Mask behavior of others ,72.0,2020-05-11
110, COVID severity ,36.0,2020-05-11
112,Mask guidelines and policies ,54.0,2020-05-18
113, Who is at risk? ,84.0,2020-05-18
114, Political legitimizing of risk ,69.0,2020-05-18
115, Mask effectiveness ,54.0,2020-05-18
116, Mask behavior of others ,107.0,2020-05-18
117, COVID severity ,56.0,2020-05-18
119,Mask guidelines and policies ,74.0,2020-05-25
120, Who is at risk? ,100.0,2020-05-25
121, Political legitimizing of risk ,82.0,2020-05-25
122, Mask effectiveness ,60.0,2020-05-25
123, Mask behavior of others ,163.0,2020-05-25
124, COVID severity ,68.0,2020-05-25
126,Mask guidelines and policies ,34.0,2020-06-01
127, Who is at risk? ,81.0,2020-06-01
128, Political legitimizing of risk ,41.0,2020-06-01
129, Mask effectiveness ,31.0,2020-06-01
130, Mask behavior of others ,143.0,2020-06-01
131, COVID severity ,63.0,2020-06-01
133,Mask guidelines and policies ,53.0,2020-06-08
134, Who is at risk? ,80.0,2020-06-08
135, Political legitimizing of risk ,76.0,2020-06-08
136, Mask effectiveness ,50.0,2020-06-08
137, Mask behavior of others ,201.0,2020-06-08
138, COVID severity ,110.0,2020-06-08
140,Mask guidelines and policies ,19.0,2020-06-15
141, Who is at risk? ,37.0,2020-06-15
142, Political legitimizing of risk ,63.0,2020-06-15
143, Mask effectiveness ,25.0,2020-06-15
144, Mask behavior of others ,110.0,2020-06-15
145, COVID severity ,71.0,2020-06-15
147,Mask guidelines and policies ,73.0,2020-06-22
148, Who is at risk? ,165.0,2020-06-22
149, Political legitimizing of risk ,210.0,2020-06-22
150, Mask effectiveness ,109.0,2020-06-22
151, Mask behavior of others ,337.0,2020-06-22
152, COVID severity ,203.0,2020-06-22
154,Mask guidelines and policies ,34.0,2020-06-29
155, Who is at risk? ,60.0,2020-06-29
156, Political legitimizing of risk ,87.0,2020-06-29
157, Mask effectiveness ,36.0,2020-06-29
158, Mask behavior of others ,98.0,2020-06-29
159, COVID severity ,71.0,2020-06-29
