id,screen_name,state,create_at,Codes,Majority Vote,Confidence Score,Comments
58,YahCedeo,Pennsylvania,3/29/2020, Who is at risk? , Who is at risk? ,1,
59,CharlieStrombrg,Pennsylvania,3/29/2020, Mask behavior of others , Mask behavior of others ,1,
60,Harlan,North Carolina,3/30/2020, COVID severity , COVID severity ,1,
61,Valkyriekinzler,New York,3/30/2020, Nonrelevant, Nonrelevant,1,
62,RyanAlimo,California,3/30/2020, Who is at risk? , Who is at risk? ,1,
63,blackraiden76T,Texas,3/30/2020," Who is at risk? 
 Mask effectiveness "," Who is at risk? 
 Mask effectiveness ",1,
64,gattotony,New Jersey,3/31/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
65,Jac5Connor,California,3/31/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
66,jaredhidden,Oregon,3/31/2020, Nonrelevant, Nonrelevant,1,
67,goodnu,Massachusetts,4/1/2020," Mask behavior of others 
 Mask effectiveness "," Mask behavior of others 
 Mask effectiveness ",1,
68,scotty808,Hawaii,4/3/2020, Nonrelevant, Nonrelevant,1,
69,BerndVerst,Washington,4/3/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
70,alaina_tommila,Washington,4/3/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
71,Big6domino,Georgia,4/3/2020, Political legitimizing of risk , Political legitimizing of risk ,1,Americans 
72,brennant3n,Texas,4/3/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
73,AmandaB_B8,New Hampshire,4/4/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
74,Changed_Man2011,Wisconsin,4/4/2020," Political legitimizing of risk 
 Who is at risk? "," Political legitimizing of risk 
 Who is at risk? ",1,
75,EWDurbin,Ohio,4/4/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
76,Raga1mon,Georgia,4/5/2020, Mask behavior of others , Mask behavior of others ,1,
77,jlvhale,Tennessee,4/5/2020,"Mask guidelines and policies 
 Who is at risk? 
 Mask behavior of others ","Mask guidelines and policies 
 Who is at risk? 
 Mask behavior of others ",1,citizens at risk 
78,Cord1K,California,4/5/2020, Mask behavior of others , Mask behavior of others ,1,
79,megantalleytv,Pennsylvania,4/6/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
80,CNNValencia,Georgia,4/6/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
81,stoddard38,New York,4/7/2020, Mask behavior of others , Mask behavior of others ,1,
82,PastorDBMorton,Louisiana,4/7/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
83,shepski79,New York,4/7/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
84,Bonnie19491949,Maine,4/8/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
85,collins1129,Massachusetts,4/8/2020,"Mask guidelines and policies 
 COVID severity ","Mask guidelines and policies 
 COVID severity ",1,
86,SpencerSulay,New York,4/8/2020, Who is at risk? , Who is at risk? ,1,
87,EricROlson,New York,4/8/2020, Mask behavior of others , Mask behavior of others ,1,
88,wsavalexb,Georgia,4/8/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
89,paaigemh,Tennessee,4/10/2020, Nonrelevant, Nonrelevant,1,
90,JjAdeclat1,New Jersey,4/10/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
91,GmaLovesAnnie,Arizona,4/12/2020, Nonrelevant, Nonrelevant,1,
92,30yearfan,North Carolina,4/14/2020, Mask behavior of others , Mask behavior of others ,1,
93,fashion7thave,New York,4/15/2020, Who is at risk? , Who is at risk? ,1,
94,kerry98198,Washington,4/15/2020, Mask behavior of others , Mask behavior of others ,1,
95,TwistedEyez,North Carolina,4/16/2020, Nonrelevant, Nonrelevant,1,
96,carliambrose,Massachusetts,4/17/2020, Nonrelevant, Nonrelevant,1,
97,heidikimurart,New York,4/18/2020, Nonrelevant, Nonrelevant,1,
98,MarciaArndt2,Pennsylvania,4/19/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
99,LAN_Engineering,Texas,4/20/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
100,pattidan,Georgia,4/21/2020,"Mask guidelines and policies 
 Who is at risk? 
 Mask behavior of others ","Mask guidelines and policies 
 Who is at risk? 
 Mask behavior of others ",1,
101,aziaticblack,California,4/21/2020, Who is at risk? , Who is at risk? ,1,
102,LovePerseveres1,Pennsylvania,4/22/2020, Nonrelevant, Nonrelevant,1,
103,Rucker2020,Georgia,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
104,cainburger,Tennessee,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
105,MillidollarMaj,Georgia,5/1/2020, Who is at risk? , Who is at risk? ,1,
106,PhyllisLevin1,Pennsylvania,5/1/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
107,BenSirReadABook,Pennsylvania,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
108,confidentjai__,California,5/1/2020, Nonrelevant, Nonrelevant,1,
109,JonahPlatt,California,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
110,lauramhiggins,Virginia,5/1/2020, Who is at risk? , Who is at risk? ,1,
111,kristennharris,Ohio,5/1/2020, Who is at risk? , Who is at risk? ,1,
112,randilynpaige,Texas,5/1/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
113,Electrix_Girl,California,5/1/2020, Nonrelevant, Nonrelevant,1,
114,FutureDocs,Illinois,5/1/2020, Mask effectiveness , Mask effectiveness ,1,
115,medicgf24,Texas,5/1/2020, Nonrelevant, Nonrelevant,1,
116,Timstobrazil,New York,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
117,jamssz,Tennessee,5/1/2020, Who is at risk? , Who is at risk? ,1,
118,msbeautiful521,Illinois,5/1/2020, Who is at risk? , Who is at risk? ,1,
119,bikinicrushswim,Florida,5/1/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
120,HendersonPhotos,Virginia,5/1/2020, COVID severity , COVID severity ,1,
121,ralphjess60,Nevada,5/1/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
122,rickarobb,California,5/1/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
123,wolfpaw9,Iowa,5/1/2020, Nonrelevant, Nonrelevant,1,
124,anilpaturi,Wisconsin,5/2/2020, Mask behavior of others , Mask behavior of others ,1,
125,the_CornStation,California,5/2/2020, Mask behavior of others , Mask behavior of others ,1,
126,GEHS_Athletics,Illinois,5/2/2020, Nonrelevant, Nonrelevant,1,
127,NYPD100Pct,New York,5/2/2020, COVID severity , COVID severity ,1,
128,KaminskiMed,Connecticut,5/2/2020, COVID severity , COVID severity ,1,
129,HoustonTX,Texas,5/2/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
130,atlclotheshorse,Georgia,5/2/2020, COVID severity , COVID severity ,1,
131,krisvire,Illinois,5/2/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
132,meck,Minnesota,5/2/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
133,Cjr92144180,Texas,5/2/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
134,morrgzzz,Texas,5/2/2020, Nonrelevant, Nonrelevant,1,
135,_thatMDgirl,Maryland,5/2/2020, Nonrelevant, Nonrelevant,1,
136,Cjr92144180,Texas,5/2/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
137,troychewning,Virginia,5/3/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
138,King_Jugg,New Jersey,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
139,LauBarbie,Florida,5/3/2020, Nonrelevant, Nonrelevant,1,
140,Aurona47,Washington,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
141,Learjetjockey,California,5/3/2020, COVID severity , COVID severity ,1,
142,Broncoorange,Washington,5/3/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
143,heatherfink,California,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
144,JW8605,Florida,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
145,baynoni,Ohio,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
146,EmmaDischer,Louisiana,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
147,LuciousLyran,Oregon,5/3/2020, Who is at risk? , Who is at risk? ,1,
148,basedchola,California,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
149,earthquakemoore,Pennsylvania,5/3/2020, Nonrelevant, Nonrelevant,1,Known repeat
150,earthquakemoore,Pennsylvania,5/3/2020, Nonrelevant, Nonrelevant,1,Known repeat
151,EmilyVernon4,North Carolina,5/3/2020, Who is at risk? , Who is at risk? ,1,Reasons not to wear a mask
152,dfeltner11,Ohio,5/3/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
153,ducc764,Illinois,5/3/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
154,Maverick7797,Michigan,5/3/2020," Political legitimizing of risk 
 Who is at risk? "," Political legitimizing of risk 
 Who is at risk? ",1,
155,earthquakemoore,Pennsylvania,5/3/2020, Nonrelevant, Nonrelevant,1,Known repeat
156,earthquakemoore,Pennsylvania,5/3/2020, Nonrelevant, Nonrelevant,1,Known repeat
157,MikeProtich,Illinois,5/3/2020, Nonrelevant, Nonrelevant,1,
158,TraceyBrownLIVE,California,5/3/2020, Nonrelevant, Nonrelevant,1,
159,moondancer77,Minnesota,5/3/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
160,5THCONSCIOUS,New York,5/3/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
161,DarelDyandria,New York,5/4/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 Who is at risk? ","Mask guidelines and policies 
 Political legitimizing of risk 
 Who is at risk? ",1,
162,jblafata03113,Massachusetts,5/4/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
163,JasminSanchezNY,New York,5/4/2020, COVID severity , COVID severity ,1,distributing masks 
164,bluepaddlesup,California,5/4/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
165,nikesandpizza,California,5/4/2020, Mask behavior of others , Mask behavior of others ,1,
166,Strech_1986,Texas,5/4/2020, Mask behavior of others , Mask behavior of others ,1,
167,drundrwd,Arizona,5/4/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
168,rachel_shae_123,Virginia,5/4/2020, Who is at risk? , Who is at risk? ,1,
169,ShujiAtatacha,California,5/4/2020, Nonrelevant, Nonrelevant,1,
170,diskai361,Texas,5/4/2020, Who is at risk? , Who is at risk? ,1,
171,jessieecopeland,Texas,5/4/2020, Mask behavior of others , Mask behavior of others ,1,
172,ossuariajewelry,Texas,5/4/2020, Mask behavior of others , Mask behavior of others ,1,
173,xTheChamp28x,New Mexico,5/4/2020, Who is at risk? , Who is at risk? ,1,
174,htorres_,Texas,5/4/2020, Who is at risk? , Who is at risk? ,1,
175,flycarla,New York,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
176,sayiamyou,Maryland,5/5/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
177,gus06paul,North Carolina,5/5/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
178,stonexpitbull,Florida,5/5/2020, Nonrelevant, Nonrelevant,1,
179,RamonMunozz,Texas,5/5/2020,"Mask guidelines and policies 
 COVID severity ","Mask guidelines and policies 
 COVID severity ",1,
180,CharlesASnow1,Ohio,5/5/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
181,jaelasnyder,Ohio,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
182,tjmccon,Missouri,5/5/2020, Who is at risk? , Who is at risk? ,1,
183,connorgillan,North Carolina,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
184,heather_wilson,Tennessee,5/5/2020, Who is at risk? , Who is at risk? ,1,
185,_Dee215,Pennsylvania,5/5/2020," Who is at risk? 
 COVID desensitization "," Who is at risk? 
 COVID desensitization ",1,
186,catdavalos,New Jersey,5/5/2020, Nonrelevant, Nonrelevant,1,
187,bulletsandsteel,Texas,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
188,jnavarette,Florida,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
189,YepThatsTorres,Arizona,5/5/2020, Nonrelevant, Nonrelevant,1,
190,baylayeee,Texas,5/5/2020, Mask effectiveness , Mask effectiveness ,1,
191,buzzyg1rl,California,5/5/2020," Mask behavior of others 
 COVID desensitization "," Mask behavior of others 
 COVID desensitization ",1,
192,JhdJim,Pennsylvania,5/5/2020, COVID severity , COVID severity ,1,
193,J_Stephens_CPA,Texas,5/5/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
194,ajaymeh17128120,Pennsylvania,5/7/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
195,AliNouriPhD,District of Columbia,5/8/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
196,PHardester,Maryland,5/8/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 Mask behavior of others ","Mask guidelines and policies 
 Political legitimizing of risk 
 Mask behavior of others ",1,
197,sitedenied,Colorado,5/9/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
198,mollymom2011,Colorado,5/9/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
199,Leslie1776,California,5/10/2020," COVID severity 
 Who is at risk? 
 Mask behavior of others "," COVID severity 
 Who is at risk? 
 Mask behavior of others ",1,
200,grantstern,Florida,5/10/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
201,sumaiya_tx,Texas,5/10/2020, Mask behavior of others , Mask behavior of others ,1,
202,Eramos503,New York,5/11/2020, COVID severity , COVID severity ,1,
203,M4mattcaulfield,California,5/13/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
204,sjbxtr,Missouri,5/14/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
205,fschmnn,Tennessee,5/14/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
206,VirtuallyKim,California,5/14/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
207,katelynhowellx,Kentucky,5/15/2020, Mask behavior of others , Mask behavior of others ,1,
208,pslarson2,Michigan,5/16/2020," COVID severity 
 Mask effectiveness "," COVID severity 
 Mask effectiveness ",1,flu comparison 
209,duck464,Oregon,5/16/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
210,UM_Alumni_CoE,Florida,5/16/2020, Mask behavior of others , Mask behavior of others ,1,
211,kbsquared1961,Virginia,5/16/2020, Mask behavior of others , Mask behavior of others ,1,
212,DonJonesCt,Connecticut,5/17/2020, Nonrelevant, Nonrelevant,1,
213,PadreMike16,New York,5/18/2020, Nonrelevant, Nonrelevant,1,
214,chrisbag29,California,5/19/2020, Mask behavior of others , Mask behavior of others ,1,
215,chrisbag29,California,5/19/2020, Mask behavior of others , Mask behavior of others ,1,
216,shotime40,New Jersey,5/20/2020, Mask effectiveness , Mask effectiveness ,1,
217,_AmandaSanchez1,Texas,5/20/2020, Nonrelevant, Nonrelevant,1,
218,_MelissaEgan,Arizona,5/20/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
219,TheJohnBdeHaas,Florida,5/20/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
220,geoclade,Oregon,5/20/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
221,Asap_gambino21,Texas,5/21/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,
222,jstatad,Virginia,5/21/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
223,lalawuvs,Texas,5/21/2020, Who is at risk? , Who is at risk? ,1,
224,ruthiecab,New York,5/22/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
225,DragonHawk1959,Kentucky,5/23/2020," COVID severity 
 Mask effectiveness "," COVID severity 
 Mask effectiveness ",1,
226,ricdssj,New York,5/24/2020, Nonrelevant, Nonrelevant,1,
227,coachkeith_1k,California,5/24/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
228,lostblackboy,New York,5/24/2020, Nonrelevant, Nonrelevant,1,
229,Ramdog1980,New Jersey,5/24/2020, Mask behavior of others , Mask behavior of others ,1,
230,ShehanJeyarajah,Texas,5/24/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
231,AP4Liberty,Missouri,5/25/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
232,zenextremist,Florida,5/25/2020, Who is at risk? , Who is at risk? ,1,
233,ShawnFinchum,Tennessee,5/25/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 Mask effectiveness ","Mask guidelines and policies 
 Political legitimizing of risk 
 Mask effectiveness ",1,
234,RHConfessionals,California,5/25/2020, Mask effectiveness , Mask effectiveness ,1,
235,hannahwanebo,Texas,5/25/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
236,msa_allen,New York,5/25/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
237,sydneyguest13,Virginia,5/26/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
238,KurtRexCooper,Arizona,5/26/2020," Who is at risk? 
 Mask effectiveness "," Who is at risk? 
 Mask effectiveness ",1,
239,Jesse_Girl_,New York,5/26/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
240,67Teresaray,Kentucky,5/27/2020, Who is at risk? , Who is at risk? ,1,
241,OicOzzie,New Jersey,5/27/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
242,LSOnebraska,Nebraska,5/28/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
243,ShaynaJaskolka,Iowa,5/28/2020, Who is at risk? , Who is at risk? ,1,
244,phylleib,New York,5/28/2020," Political legitimizing of risk 
 Mask behavior of others 
 Mask effectiveness "," Political legitimizing of risk 
 Mask behavior of others 
 Mask effectiveness ",1,
302,Lord_Pope,California,6/15/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
245,AbraarKaran,Massachusetts,5/29/2020, Mask effectiveness , Mask effectiveness ,1,
246,bfarm614,Tennessee,5/29/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
247,d_rez79,Oregon,5/29/2020, Mask behavior of others , Mask behavior of others ,1,
248,_rynzl3r,New Jersey,5/30/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
249,CNPwithanMEd,Tennessee,5/31/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
250,frequencyskye,Georgia,5/31/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
251,Nuk3dawg,Georgia,5/31/2020, Nonrelevant, Nonrelevant,1,
252,TheJosephCabral,South Carolina,5/31/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,
253,ODouglasPrice,Connecticut,5/31/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,Link about democrats
254,mbalter,New York,6/1/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
255,nick_caputo27,Hawaii,6/1/2020, COVID severity , COVID severity ,1,hoax
256,kskiamara,Texas,6/1/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
257,Linda_Rae_238,North Carolina,6/1/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
258,bryceingalls22,California,6/1/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
259,vaishjoshii,Pennsylvania,6/2/2020, Mask behavior of others , Mask behavior of others ,1,
260,StonesiferAmy,Texas,6/2/2020, Mask behavior of others , Mask behavior of others ,1,
261,MilagrosDesigns,New Jersey,6/3/2020, Nonrelevant, Nonrelevant,1,
262,AngieCrouse,Arizona,6/3/2020," Mask behavior of others 
 Mask effectiveness "," Mask behavior of others 
 Mask effectiveness ",1,
263,wheat741,Arizona,6/3/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
264,JackBones10,California,6/4/2020, Mask behavior of others , Mask behavior of others ,1,
265,MedfordJake,Arizona,6/4/2020, COVID severity , COVID severity ,1,
266,TevonBlair,Illinois,6/4/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
267,BachFancy,Texas,6/4/2020, Mask behavior of others , Mask behavior of others ,1,
268,JustinRWestgate,Massachusetts,6/5/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
269,EZembeck,Massachusetts,6/5/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
270,bea8326d95d74cf,New Jersey,6/6/2020, Mask behavior of others , Mask behavior of others ,1,
271,KingSli7,Colorado,6/6/2020, Mask behavior of others , Mask behavior of others ,1,
272,MonicoPat,New Jersey,6/6/2020, Mask effectiveness , Mask effectiveness ,1,
273,1x10e6,Colorado,6/7/2020," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others "," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others ",1,
274,KruzanStellar,Georgia,6/7/2020, Who is at risk? , Who is at risk? ,1,
